Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,2023 JCI,% of Citable OA,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,JIF Quartile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
"EXPERT SYSTEMS WITH APPLICATIONS","EXPERT SYST APPL","PERGAMON-ELSEVIER SCIENCE LTD","0957-4174","1873-6793","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","81,243","7.5","1.6","8.88"%," 6/106 ","7.6","Q1","6.4","1.3"," 9/106 ","Q1","91.98","0.069","15.18","1.33","94.8","Q1","Q1","3,150","96.25"%,"3.7","4.8","3,032",
"EUROPEAN JOURNAL OF OPERATIONAL RESEARCH","EUR J OPER RES","ELSEVIER","0377-2217","1872-6860","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","62,297","6","1.38","21.3"%," 14/106 ","5.9","Q1","5.3","1.7"," 14/106 ","Q1","87.26","0.042","9.217","1.444","87.3","Q1","Q1","634","96.37"%,"9","8.8","611",
"MANAGEMENT SCIENCE","MANAGE SCI","INFORMS","0025-1909","1526-5501","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","47,285","4.6","1.12","0"%," 22/106 ","6.1","Q1","4.2","0.8"," 19/106 ","Q1","82.55","0.062","13.567","3.722","79.7","Q1","Q1","461","99.78"%,"12.8","9.9","460",
"INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS","INT J PROD ECON","ELSEVIER","0925-5273","1873-7579","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","33,968","9.8","2","15.24"%," 3/106 ","10.3","Q1","8.8","1.8"," 4/106 ","Q1","96.70","0.023","5.117","1.851","97.6","Q1","Q1","282","97.87"%,"6.4","6.1","276",
"INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH","INT J PROD RES","TAYLOR & FRANCIS LTD","0020-7543","1366-588X","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","33,706","7","1.33","12.05"%," 7/106 ","8.3","Q1","5.8","1.2"," 15/106 ","Q1","86.32","0.029","6.376","1.472","93.9","Q1","Q1","331","94.26"%,"4.9","5","312",
"RELIABILITY ENGINEERING & SYSTEM SAFETY","RELIAB ENG SYST SAFE","ELSEVIER SCI LTD","0951-8320","1879-0836","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","33,272","9.4","1.71","11.66"%," 4/106 ","8.1","Q1","6","2.3"," 7/106 ","Q1","93.87","0.027","5.867","1.264","96.7","Q1","Q1","707","99.43"%,"3.5","4.5","703",
"SAFETY SCIENCE","SAFETY SCI","ELSEVIER","0925-7535","1879-1042","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","20,058","4.7","1","25.21"%," 21/106 ","5.3","Q1","4.2","0.8"," 21/106 ","Q1","80.66","0.017","3.657","0.98","80.7","Q1","Q2","267","88.76"%,"5.4","7.3","237",
"ANNALS OF OPERATIONS RESEARCH","ANN OPER RES","SPRINGER","0254-5330","1572-9338","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","17,824","4.4","0.99","21.08"%," 23/106 ","4.4","Q1","3.9","0.9"," 22/106 ","Q1","79.72","0.019","4.084","0.861","78.8","Q1","Q2","584","98.12"%,"3.7","6","573",
"TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW","TRANSPORT RES E-LOG","PERGAMON-ELSEVIER SCIENCE LTD","1366-5545","1878-5794","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","17,570","8.3","2.19","10.78"%," 5/106 ","9.2","Q1","7","1.6"," 3/106 ","Q1","97.64","0.019","4.156","1.938","95.8","Q1","Q1","283","98.59"%,"4.4","5.1","279",
"TRANSPORTATION RESEARCH PART B-METHODOLOGICAL","TRANSPORT RES B-METH","PERGAMON-ELSEVIER SCIENCE LTD","0191-2615","1879-2367","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","17,028","5.8","1.48","17.14"%," 15/106 ","7.2","Q1","5.4","1.2"," 12/106 ","Q1","89.15","0.016","3.417","2.28","86.3","Q1","Q1","111","98.2"%,"7.7","7.6","109",
