Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,2023 JCI,% of Citable OA,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,JIF Quartile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
"JOURNAL OF FINANCIAL ECONOMICS","J FINANC ECON","ELSEVIER SCIENCE SA","0304-405X","N/A","BUSINESS, FINANCE","SSCI","51,939","10.4","2.97","9.82"%," 1/233 ","11.4","Q1","10.2","1.2"," 1/233 ","Q1","99.79","0.058","12.644","8.406","99.8","Q1","Q1","81","100"%,"13.3","9.5","81",
"Journal of International Financial Management & Accounting","J INT FIN MANAG ACC","WILEY","0954-1314","1467-646X","BUSINESS, FINANCE","SSCI","1,067","9.4","2.36","21.31"%," 2/233 ","6.7","Q1","8.5","1.4"," 6/233 ","Q1","97.64","0.001","0.135","1.059","99.4","Q1","Q1","27","88.89"%,"6.3","9.7","24",
"China Finance Review International","CHINA FINANC REV INT","EMERALD GROUP PUBLISHING LTD","2044-1398","2044-1401","BUSINESS, FINANCE","ESCI","910","9","2.25","3.3"%," 3/233 ","5.1","Q1","8.8","1.5"," 9/233 ","Q1","96.35","0.001","0.243","0.904","98.9","Q1","Q2","29","96.55"%,"2.6","6.8","28",
"Critical Perspectives on Accounting","CRIT PERSPECT ACCOUN","ELSEVIER","1045-2354","1095-9955","BUSINESS, FINANCE","SSCI","4,390","8.3","2.16","27.67"%," 4/233 ","7.1","Q1","6.6","2.7"," 11/233 ","Q1","95.49","0.002","0.48","1.388","98.5","Q1","Q1","74","100"%,"8.5","12.5","74",
"JOURNAL OF FINANCE","J FINANC","WILEY","0022-1082","1540-6261","BUSINESS, FINANCE","SSCI","49,856","7.6","2.42","21.6"%," 5/233 ","10","Q1","7.3","2.7"," 4/233 ","Q1","98.50","0.036","7.979","12.57","98.1","Q1","Q1","83","100"%,"19.7","10.1","83",
"International Review of Financial Analysis","INT REV FINANC ANAL","ELSEVIER SCIENCE INC","1057-5219","1873-8079","BUSINESS, FINANCE","SSCI","12,150","7.5","2.31","14.01"%," 6/233 ","7.8","Q1","6.6","1.7"," 8/233 ","Q1","96.78","0.012","2.578","1.327","97.6","Q1","Q1","521","97.89"%,"3.1","8.5","510",
"Finance Research Letters","FINANC RES LETT","ACADEMIC PRESS INC ELSEVIER SCIENCE","1544-6123","1544-6131","BUSINESS, FINANCE","SSCI","20,679","7.4","2.72","9.56"%," 7/233 ","7.6","Q1","6.4","1.4"," 2/233 ","Q1","99.36","0.022","4.931","1.202","97.2","Q1","Q1","1,236","99.84"%,"2.3","5.3","1,234",
"JOURNAL OF CORPORATE FINANCE","J CORP FINANC","ELSEVIER","0929-1199","1872-6313","BUSINESS, FINANCE","SSCI","16,447","7.2","1.79","12.11"%," 8/233 ","8.2","Q1","7","1"," 15/233 ","Q1","93.78","0.017","3.637","2.19","96.8","Q1","Q1","136","100"%,"6.5","11.4","136",
"Financial Innovation","FINANC INNOV","SPRINGER","N/A","2199-4730","BUSINESS, FINANCE","SSCI","2,676","6.9","2.4","99.64"%," 9/233 ","6.8","Q1","5.9","2.7"," 5/233 ","Q1","98.07","0.002","0.513","1.004","96.4","Q1","Q1","110","97.27"%,"2.8","5.9","107",
"REVIEW OF FINANCIAL STUDIES","REV FINANC STUD","OXFORD UNIV PRESS INC","0893-9454","1465-7368","BUSINESS, FINANCE","SSCI","27,866","6.8","2.34","16.71"%," 10/233 ","9.5","Q1","6.6","0.9"," 7/233 ","Q1","97.21","0.053","11.54","8.837","95.9","Q1","Q1","96","100"%,"11.5","9.3","96",
