,ISSN,Field,Journal Title,Publisher Name,Scopus,Web of Science™,AJG 2021,AJG 2018,AJG 2015,ABS 2010,Journal Citation Reports™ rank,SNIPrank,SJRrank,CiteScore rank,Journal name,JCR Abbreviation,ISSN.y,Category,Total Citations,2021 JIF,2021 JCI,% of OA Gold,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,JIF Quartile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles,eISSN,ISSN.x,Full Name
0,1558-7967,ACCOUNT,Accounting Review,American Accounting Association,scopus,WoS,4*,4*,4*,4.0,4.0,3.0,3.0,4.0,ACCOUNTING REVIEW,ACCOUNT REV,0001-4826,"BUSINESS, FINANCE - SSCI",18165,5.182,1.77,0%,14/111,7.818,Q1,4.852,1.388,16/221,Q1,92.99,0.015,3.296,4.132,87.84,Q1,Q1,103.0,100%,12.2,12.4,103.0,,,Accounting
1,1873-6289,ACCOUNT,"Accounting, Organizations and Society",Elsevier,scopus,WoS,4*,4*,4*,4.0,5.0,5.0,6.0,5.0,ACCOUNTING ORGANIZATIONS AND SOCIETY,ACCOUNT ORG SOC,0361-3682,"BUSINESS, FINANCE - SSCI",9060,4.114,1.55,7.89%,28/111,5.688,Q1,3.937,1.057,22/221,Q1,90.27,0.004,0.766,1.988,75.23,Q2,Q1,35.0,100%,14.9,12.9,35.0,,,Accounting
2,1879-1980,ACCOUNT,Journal of Accounting and Economics,Elsevier,scopus,WoS,4*,4*,4*,4.0,1.0,1.0,2.0,1.0,JOURNAL OF ACCOUNTING & ECONOMICS,J ACCOUNT ECON,0165-4101,"BUSINESS, FINANCE - SSCI",15496,7.293,2.29,4%,7/111,9.901,Q1,6.867,1.0,9/221,Q1,96.15,0.011,2.372,5.728,94.14,Q1,Q1,50.0,100%,14.9,11.0,50.0,,,Accounting
3,1475-679X,ACCOUNT,Journal of Accounting Research,Wiley-Blackwell,scopus,WoS,4*,4*,4*,4.0,2.0,2.0,1.0,2.0,JOURNAL OF ACCOUNTING RESEARCH,J ACCOUNT RES,0021-8456,"BUSINESS, FINANCE - SSCI",12187,4.446,1.8,8.4%,22/111,9.043,Q1,4.231,0.5,15/221,Q1,93.44,0.01,2.133,6.415,80.63,Q1,Q1,54.0,100%,16.3,11.2,54.0,,,Accounting
4,1911-3846,ACCOUNT,Contemporary Accounting Research,Wiley-Blackwell,scopus,WoS,4,4,4,3.0,6.0,6.0,4.0,7.0,CONTEMPORARY ACCOUNTING RESEARCH,CONTEMP ACCOUNT RES,0823-9150,"BUSINESS, FINANCE - SSCI",7501,4.041,1.43,3.86%,29/111,5.046,Q1,3.619,0.716,29/221,Q1,87.1,0.008,1.827,2.19,74.32,Q2,Q1,88.0,98.86%,10.1,11.1,87.0,,,Accounting
5,1573-7136,ACCOUNT,Review of Accounting Studies,Springer Nature,scopus,WoS,4,4,4,4.0,8.0,8.0,5.0,12.0,REVIEW OF ACCOUNTING STUDIES,REV ACCOUNT STUD,1380-6653,"BUSINESS, FINANCE - SSCI",4168,4.011,1.44,16.56%,30/111,5.692,Q1,3.609,0.451,27/221,Q1,88.01,0.007,1.475,3.271,73.42,Q2,Q1,71.0,98.59%,8.8,11.5,70.0,,,Accounting
6,1467-6281,ACCOUNT,Abacus,Wiley-Blackwell,scopus,WoS,3,3,3,3.0,16.0,34.0,26.0,26.0,Abacus-A Journal of Accounting Finance and Business Studies,ABACUS,0001-3072,"BUSINESS, FINANCE - SSCI",1269,2.06,0.96,14.12%,74/111,3.243,Q3,1.8,0.543,61/221,Q2,72.62,0.001,0.147,0.627,33.78,Q3,Q3,35.0,100%,10.6,12.1,35.0,,,Accounting
7,2159-4260,ACCOUNT,Accounting and Business Research,Taylor & Francis,scopus,WoS,3,3,3,3.0,11.0,17.0,17.0,19.0,ACCOUNTING AND BUSINESS RESEARCH,ACCOUNT BUS RES,0001-4788,"BUSINESS, FINANCE - SSCI",1979,2.326,1.01,29.03%,67/111,3.606,Q2,1.953,0.421,56/221,Q2,74.89,0.001,0.282,0.769,40.09,Q3,Q3,38.0,97.37%,9.5,10.8,37.0,,,Accounting
8,1467-6303,ACCOUNT,Accounting Forum,Elsevier,scopus,WoS,3,3,3,3.0,,16.0,22.0,16.0,Accounting Forum,ACCOUNT FORUM,0155-9982,"BUSINESS, FINANCE - SSCI",1575,4.0,1.17,19.7%,31/111,4.255,Q2,3.583,0.5,39/221,Q1,82.58,0.001,0.152,0.701,72.52,Q2,Q3,30.0,96.67%,9.7,10.3,29.0,,,Accounting
9,1558-7975,ACCOUNT,Accounting Horizons,American Accounting Association,scopus,WoS,3,3,3,3.0,12.0,15.0,15.0,15.0,Accounting Horizons,ACCOUNT HORIZ,0888-7993,"BUSINESS, FINANCE - SSCI",3128,2.157,0.86,0%,72/111,3.364,Q2,2.071,0.282,74/221,Q2,66.74,0.002,0.451,1.339,35.59,Q3,Q2,39.0,97.44%,11.8,10.4,38.0,,,Accounting
10,1758-4205,ACCOUNT,"Accounting, Auditing and Accountability Journal",Emerald,scopus,WoS,3,3,3,3.0,,13.0,9.0,6.0,Accounting Auditing & Accountability Journal,ACCOUNT AUDIT ACCOUN,0951-3574,"BUSINESS, FINANCE - SSCI",7052,4.893,1.59,11.18%,18/111,5.701,Q1,3.762,1.233,20/221,Q1,91.18,0.004,0.776,0.916,84.23,Q1,Q2,116.0,97.41%,8.7,9.8,113.0,,,Accounting
