FIELD,JOURNAL_TITLE,PUBLISHER,ISSN,AJG2021,EIGENFACTOR_SCORE
INFO MAN,MIS Quarterly,Minnesota,2162-9730,4*,0.01127
REGIONAL STUDIES,Economic Geography,Taylor & Francis,1944-8287,4,0.00592
REGIONAL STUDIES,Journal of Economic Geography,Oxford UP,1468-2710,4,0.00892
REGIONAL STUDIES,Regional Studies,Taylor & Francis,1360-0591,4,0.00592
ACCOUNT,Accounting Auditing and Accountability Journal,Emerald,0951-3574,3,0.00287
ACCOUNT,Accounting Organizations and Society,Elsevier,0361-3682,3,0.00983
ACCOUNT,British Accounting Review,Elsevier,0890-8389,3,0.00245
ACCOUNT,Critical Perspectives on Accounting,Elsevier,1045-2354,3,0.00276
ACCOUNT,European Accounting Review,Taylor & Francis,0963-8180,3,0.00234
ACCOUNT,Journal of Accounting and Public Policy,Elsevier,0278-4254,3,0.00298
ACCOUNT,Journal of Business Finance and Accounting,Wiley-Blackwell,0306-686X,3,0.00345
ACCOUNT,Management Accounting Research,Elsevier,1044-5005,3,0.00276
BUS HIST & ECON HIST,Cliometrica,Springer,1863-2505,3,0.00134
BUS HIST & ECON HIST,Enterprise and Society,Cambridge UP,1467-2227,3,0.00156
BUS HIST & ECON HIST,European Review of Economic History,Oxford UP,1361-4916,3,0.00198
BUS HIST & ECON HIST,Explorations in Economic History,Elsevier,0014-4983,3,0.00234
BUS HIST & ECON HIST,Financial History Review,Cambridge UP,0968-5650,3,0.00123
BUS HIST & ECON HIST,Journal of Economic History,Cambridge UP,0022-0507,3,0.00687
ECON,Advances in Econometrics,Emerald,0731-9053,3,0.00234
ECON,Applied Economics,Taylor & Francis,0003-6846,3,0.00783
ECON,Canadian Journal of Economics,Wiley-Blackwell,0008-4085,3,0.00592
ECON,Econometric Reviews,Taylor & Francis,0747-4938,3,0.00452
ECON,Economic Inquiry,Wiley-Blackwell,0095-2583,3,0.00783
ECON,Economic Policy,Oxford UP,0266-4658,3,0.00912
ECON,Economics Letters,Elsevier,0165-1765,3,0.01234
ECON,European Economic Review,Elsevier,0014-2921,3,0.01562
ECON,Experimental Economics,Springer,1386-4157,3,0.00687
ECON,Games and Economic Behavior,Elsevier,0899-8256,3,0.01324
ECON,International Economic Review,Wiley-Blackwell,0020-6598,3,0.01234
ECON,International Journal of Industrial Organization,Elsevier,0167-7187,3,0.00783
ECON,Journal of Applied Econometrics,Wiley-Blackwell,0883-7252,3,0.00912
ECON,Journal of Development Economics,Elsevier,0304-3878,3,0.01562
ECON,Journal of Economic Behavior and Organization,Elsevier,0167-2681,3,0.01234
ECON,Journal of Economic Dynamics and Control,Elsevier,0165-1889,3,0.00912
ECON,Journal of Economic Growth,Springer,1381-4338,3,0.00592
ECON,Journal of Economic Surveys,Wiley-Blackwell,0950-0804,3,0.00452
ECON,Journal of Economics and Management Strategy,Wiley-Blackwell,1058-6407,3,0.00483
ECON,Journal of Industrial Economics,Wiley-Blackwell,0022-1821,3,0.00432
ECON,Journal of International Money and Finance,Elsevier,0261-5606,3,0.00912
ECON,Journal of Mathematical Economics,Elsevier,0304-4068,3,0.00452
ECON,Journal of Population Economics,Springer,0933-1433,3,0.00483
ECON,Journal of Risk and Uncertainty,Springer,0895-5646,3,0.00345
ECON,Journal of Urban Economics,Elsevier,0094-1190,3,0.00876
ECON,Labour Economics,Elsevier,0927-5371,3,0.00783
ECON,Macroeconomic Dynamics,Cambridge UP,1365-1005,3,0.00452
ECON,Oxford Bulletin of Economics and Statistics,Wiley-Blackwell,0305-9049,3,0.00687
ECON,Oxford Economic Papers,Oxford UP,0030-7653,3,0.00452
ECON,Review of Economic Dynamics,Elsevier,1094-2025,3,0.00783
ECON,Review of Income and Wealth,Wiley-Blackwell,0034-6586,3,0.00432
ECON,Scandinavian Journal of Economics,Wiley-Blackwell,0347-0520,3,0.00567
ECON,World Bank Economic Review,Oxford UP,0258-6770,3,0.00432
ENT-SBM,Family Business Review,SAGE,0894-4865,3,0.00345
ENT-SBM,International Small Business Journal,SAGE,0266-2426,3,0.00432
ENT-SBM,Journal of Small Business Management,Taylor & Francis,0047-2778,3,0.00456
ENT-SBM,Small Business Economics,Springer,0921-898X,3,0.00678
ETHICS-CSR-MAN,Business and Society,SAGE,0007-6503,3,0.00432
ETHICS-CSR-MAN,Corporate Governance: An International Review,Wiley-Blackwell,0964-8410,3,0.00345
ETHICS-CSR-MAN,Journal of Business Ethics,Springer,0167-4544,3,0.01234
ETHICS-CSR-MAN,Organization and Environment,SAGE,1086-0266,3,0.00432
FINANCE,European Financial Management,Wiley-Blackwell,1354-7798,3,0.00345
FINANCE,Finance and Stochastics,Springer,0949-2984,3,0.00432
FINANCE,Financial Analysts Journal,Taylor & Francis,0015-198X,3,0.00567
FINANCE,Financial Management,Wiley-Blackwell,0046-3892,3,0.00456
FINANCE,International Finance,Wiley-Blackwell,1367-0271,3,0.00198
FINANCE,Journal of Banking and Finance,Elsevier,0378-4266,3,0.01562
FINANCE,Journal of Empirical Finance,Elsevier,0927-5398,3,0.00567
FINANCE,Journal of Financial Markets,Elsevier,1386-4181,3,0.00432
FINANCE,Journal of Financial Research,Wiley-Blackwell,0270-2592,3,0.00234
FINANCE,Journal of Futures Markets,Wiley-Blackwell,0270-7314,3,0.00345
FINANCE,Journal of International Financial Markets Institutions and Money,Elsevier,1042-4431,3,0.00432
FINANCE,Journal of Portfolio Management,Institutional Investor,0095-4918,3,0.00234
FINANCE,Mathematical Finance,Wiley-Blackwell,0960-1627,3,0.00432
FINANCE,Review of Quantitative Finance and Accounting,Springer,0924-865X,3,0.00234
HRM&EMP,Economic and Industrial Democracy,SAGE,0143-831X,3,0.00234
HRM&EMP,Employee Relations,Emerald,0142-5455,3,0.00198
HRM&EMP,European Journal of Industrial Relations,SAGE,0959-6801,3,0.00234
HRM&EMP,Gender Work and Organization,Wiley-Blackwell,0968-6673,3,0.00456
HRM&EMP,Human Resource Management Review,Elsevier,1053-4822,3,0.00567
HRM&EMP,International Journal of Human Resource Management,Taylor & Francis,0958-5192,3,0.00912
HRM&EMP,International Journal of Management Reviews,Wiley-Blackwell,1460-8545,3,0.00783
HRM&EMP,Journal of Labor Research,Springer,0195-3613,3,0.00234
HRM&EMP,New Technology Work and Employment,Wiley-Blackwell,0268-1072,3,0.00198
INFO MAN,Database for Advances in Information Systems,ACM,0095-0033,3,0.00198
INFO MAN,Decision Support Systems,Elsevier,0167-9236,3,0.00912
INFO MAN,Enterprise Information Systems,Taylor & Francis,1751-7575,3,0.00234
