Field,Journal Title,AJG 2024,AJG 2021,Citescore rank,SNIP rank,SJR rank,JIF rank,SDG content (2017-21),International co-authorship (2017-21),Academic-non-academic collaborations (2017-21),Citations policy docs (2017-21),ISSN,Publisher,JCR_2021_JIF,JCR_2021_JCI,JCR_2021_JIF_Quartile,JCR_2021_Total_Citations,Eigenfactor,Article_Influence_Score,JCR_Category,JCR_2023_JIF,JCR_2023_JCI,JCR_2023_JIF_Quartile,JCR_2023_Total_Citations,JCR_2023_Eigenfactor,JCR_2023_AIS,JCR_2023_Category
ACCOUNT,Accounting Review,4*,4*,4,3,3,3,25%,43%,8%,0.424,15587967,American Accounting Association,5.182,1.77,Q1,18165,0.015,4.132,"BUSINESS, FINANCE - SSCI",4.4,1.38,Q1,19372,0.014,3.418,"BUSINESS, FINANCE"
ACCOUNT,"Accounting, Organizations and Society",4*,4*,7,7,6,6,26%,51%,6%,0.172,18736289,Elsevier,4.114,1.55,Q2,9060,0.004,1.988,"BUSINESS, FINANCE - SSCI",,,,,,,
ACCOUNT,Journal of Accounting and Economics,4*,4*,2,2,2,1,30%,38%,8%,0.963,18791980,Elsevier,7.293,2.29,Q1,15496,0.011,5.728,"BUSINESS, FINANCE - SSCI",5.4,1.77,Q1,16129,0.011,5.914,"BUSINESS, FINANCE"
ACCOUNT,Journal of Accounting Research,4*,4*,1,1,1,2,26%,43%,8%,0.784,1475679X,Wiley-Blackwell,4.446,1.8,Q1,12187,0.01,6.415,"BUSINESS, FINANCE - SSCI",4.9,1.43,Q1,12115,0.008,5.164,"BUSINESS, FINANCE"
ACCOUNT,Contemporary Accounting Research,4,4,14,8,5,12,22%,43%,13%,0.229,19113846,Wiley-Blackwell,4.041,1.43,Q2,7501,0.008,2.19,"BUSINESS, FINANCE - SSCI",3.2,1.05,Q1,8264,0.008,2.288,"BUSINESS, FINANCE"
ACCOUNT,Review of Accounting Studies,4,4,12,5,4,13,21%,43%,7%,0.523,15737136,Springer Nature,4.011,1.44,Q2,4168,0.007,3.271,"BUSINESS, FINANCE - SSCI",4.8,1.29,Q1,5568,0.008,3.288,"BUSINESS, FINANCE"
ACCOUNT,Abacus,3,3,21,29,30,26,28%,44%,10%,0.257,14676281,Wiley-Blackwell,2.06,0.96,Q3,1269,0.001,0.627,"BUSINESS, FINANCE - SSCI",,,,,,,
ACCOUNT,Accounting and Business Research,3,3,18,16,19,19,32%,52%,4%,0.194,21594260,Taylor & Francis,2.326,1.01,Q3,1979,0.001,0.769,"BUSINESS, FINANCE - SSCI",2,0.51,Q2,2055,0.001,0.738,"BUSINESS, FINANCE"
ACCOUNT,Accounting Forum,3,3,15,20,21,11,52%,51%,12%,0.198,14676303,Elsevier,4.0,1.17,Q2,1575,0.001,0.701,"BUSINESS, FINANCE - SSCI",2.8,0.78,Q2,1655,0.001,0.817,"BUSINESS, FINANCE"
ACCOUNT,Accounting Horizons,3,3,22,18,13,21,14%,27%,8%,0.104,15587975,American Accounting Association,2.157,0.86,Q3,3128,0.002,1.339,"BUSINESS, FINANCE - SSCI",2.2,0.66,Q2,3107,0.002,1.084,"BUSINESS, FINANCE"
ACCOUNT,"Accounting, Auditing and Accountability Journal",3,3,8,13,10,7,54%,52%,7%,0.215,17584205,Emerald,4.893,1.59,Q1,7052,0.004,0.916,"BUSINESS, FINANCE - SSCI",,,,,,,
ACCOUNT,Auditing,3,3,11,11,7,10,13%,34%,12%,0.069,15587991,American Accounting Association,3.076,1.06,Q2,3898,0.003,1.506,"BUSINESS, FINANCE - SSCI",,,,,,,
ACCOUNT,Behavioral Research in Accounting,3,3,38,36,22,10%,22%,7%,0.030,,15588009,American Accounting Association,,0.81,,678,0.001,1.053,"BUSINESS, FINANCE - ESCI",0.8,0.56,Q4,687,0,0.836,"BUSINESS, FINANCE"
ACCOUNT,British Accounting Review,3,3,6,10,14,5,45%,44%,4%,0.301,10958347,Elsevier,4.761,1.93,Q1,3094,0.002,1.16,"BUSINESS, FINANCE - SSCI",5.5,1.55,Q1,3501,0.002,1.461,"BUSINESS, FINANCE"
ACCOUNT,British Tax Review,3,3,76,54,72,48%,33%,0%,0.000,,,,,,,,,,,,,,,,,
ACCOUNT,Critical Perspectives on Accounting,3,3,5,9,8,9,46%,47%,5%,0.259,10959955,Elsevier,5.538,1.75,Q1,3660,0.002,1.04,"BUSINESS, FINANCE - SSCI",8.3,2.16,Q1,4390,0.002,1.388,"BUSINESS, FINANCE"
ACCOUNT,European Accounting Review,3,3,17,15,16,18,29%,54%,5%,0.290,14684497,Taylor & Francis,2.845,1.0,Q2,2613,0.002,0.853,"BUSINESS, FINANCE - SSCI",2.5,0.77,Q2,2962,0.002,0.941,"BUSINESS, FINANCE"
ACCOUNT,Financial Accountability and Management,3,3,24,25,27,32%,35%,8%,0.164,,14680408,Wiley-Blackwell,,0.81,,1151,0.001,0.5,"BUSINESS, FINANCE - ESCI",3.1,0.63,Q1,988,0.001,0.654,"BUSINESS, FINANCE"
ACCOUNT,Foundations and Trends in Accounting,3,3,47,21,18,27%,86%,0%,0.400,,,,,,,,,,,,,,,,,
ACCOUNT,International Journal of Accounting,3,3,27,33,41,27%,54%,5%,0.091,,10944060,Elsevier,,0.72,,1250,0.0,0.556,"BUSINESS, FINANCE - ESCI",2,0.5,Q2,1263,0,0.461,"BUSINESS, FINANCE"
ACCOUNT,Journal of Accounting and Public Policy,3,3,16,14,12,14,34%,39%,6%,0.398,18732070,Elsevier,3.629,1.21,Q2,3457,0.002,1.122,"BUSINESS, FINANCE - SSCI",3.3,1.14,Q1,3677,0.002,1.009,"BUSINESS, FINANCE"
ACCOUNT,Journal of Accounting Literature,3,3,10,4,15,6%,33%,3%,0.353,,,,,,,,,,,1.1,0.29,Q3,887,0,1.054,"BUSINESS, FINANCE"
ACCOUNT,"Journal of Accounting, Auditing and Finance",3,3,40,26,29,23%,46%,4%,0.042,,0148558X,SAGE,,0.64,,1313,0.001,0.607,"BUSINESS, FINANCE - ESCI",1.3,0.46,Q3,1482,0.001,0.514,"BUSINESS, FINANCE"
ACCOUNT,Journal of Business Finance and Accounting,3,3,26,17,17,23,28%,51%,9%,0.136,14685957,Wiley-Blackwell,2.709,0.89,Q3,3537,0.002,0.842,"BUSINESS, FINANCE - SSCI",2.2,0.68,Q2,3499,0.002,0.75,"BUSINESS, FINANCE"
ACCOUNT,Journal of Financial Reporting,3,,,,,,,,,,,,,,,,,,,2.3,0.6,Q2,165,0.001,1.208,"BUSINESS, FINANCE"
ACCOUNT,"Journal of International Accounting, Auditing and Taxation",3,3,29,27,37,45%,50%,9%,0.076,,,,,,,,,,,,,,,,,
