Field,Journal Title,AJG 2024,AJG 2021,Citescore rank,SNIP rank,SJR rank,JIF rank,SDG content (2017-21),International co-authorship (2017-21),Academic-non-academic collaborations (2017-21),Citations policy docs (2017-21),,,,,,,,,,,
ORG STUD,Tamara: Journal for Critical Organization Inquiry,1,,,,,,,,,,,,,,,,,,,,
PSYCH (GENERAL),Psychological Science,4*,4*,6,8,7,8,16%,40%,20%,0.92,,,,,,,,,,,
PSYCH (GENERAL),Annual Review of Psychology,4,4,1,1,1,1,16%,31%,10%,1.789,,,,,,,,,,,
PSYCH (GENERAL),Behavioral and Brain Sciences,4,4,58,10,55,3,9%,36%,13%,0.073,,,,,,,,,,,
PSYCH (GENERAL),Cognition,4,4,15,20,14,18,5%,41%,20%,0.081,,,,,,,,,,,
PSYCH (GENERAL),Current Directions in Psychological Science,4,4,8,7,8,9,10%,39%,11%,0.355,,,,,,,,,,,
PSYCH (GENERAL),Journal of Experimental Psychology: Applied,4,4,36,32,38,33,20%,30%,17%,0.233,,,,,,,,,,,
PSYCH (GENERAL),Journal of Experimental Psychology: General,4,4,9,12,10,11,7%,36%,16%,0.193,,,,,,,,,,,
PSYCH (GENERAL),Journal of Experimental Social Psychology,4,4,18,19,16,17,13%,41%,9%,0.282,,,,,,,,,,,
PSYCH (GENERAL),Journal of Personality and Social Psychology,4,4,5,6,5,7,16%,48%,14%,0.492,,,,,,,,,,,
PSYCH (GENERAL),Nature Human Behaviour,4,,7,4,6,5,21%,60%,34%,2.928,,,,,,,,,,,
PSYCH (GENERAL),Personality and Social Psychology Bulletin,4,4,14,17,13,19,15%,40%,8%,0.27,,,,,,,,,,,
PSYCH (GENERAL),Psychological Bulletin,4,4,2,2,2,2,20%,40%,21%,1.45,,,,,,,,,,,
PSYCH (GENERAL),Psychological Review,4,4,4,5,4,6,4%,44%,17%,0.277,,,,,,,,,,,
PSYCH (GENERAL),British Journal of Psychology,3,3,13,21,19,20,12%,37%,16%,0.281,,,,,,,,,,,
PSYCH (GENERAL),British Journal of Social Psychology,3,3,23,23,20,24,23%,48%,9%,0.55,,,,,,,,,,,
PSYCH (GENERAL),Cognitive Science,3,3,28,26,21,31,6%,37%,19%,0.032,,,,,,,,,,,
PSYCH (GENERAL),European Journal of Social Psychology,3,3,27,29,24,25,19%,50%,10%,0.309,,,,,,,,,,,
PSYCH (GENERAL),Journal of Behavioral Decision Making,3,3,42,45,31,39,7%,37%,20%,0.221,,,,,,,,,,,
PSYCH (GENERAL),Journal of Conflict Resolution,3,3,20,9,9,22,51%,38%,13%,1.778,,,,,,,,,,,
PSYCH (GENERAL),Journal of Cross-Cultural Psychology,3,3,37,37,36,44,32%,62%,17%,0.227,,,,,,,,,,,
PSYCH (GENERAL),Journal of Environmental Psychology,3,,10,11,18,10,44%,32%,20%,0.627,,,,,,,,,,,
PSYCH (GENERAL),Journal of Experimental Psychology: Learning Memory and Cognition,3,3,21,28,17,27,6%,32%,15%,0.049,,,,,,,,,,,
PSYCH (GENERAL),Journal of Mathematical Psychology,3,2,31,31,23,35,2%,39%,18%,0.022,,,,,,,,,,,
PSYCH (GENERAL),Journal of Personality,3,,10,16,15,13,13%,42%,13%,0.203,,,,,,,,,,,
PSYCH (GENERAL),Judgment and Decision Making,3,3,39,40,26,30,10%,38%,18%,0,,,,,,,,,,,
PSYCH (GENERAL),Personality and Individual Differences,3,3,26,36,29,29,18%,29%,15%,0.114,,,,,,,,,,,
PSYCH (GENERAL),Psychological Research,3,3,25,43,30,38,3%,37%,22%,0.016,,,,,,,,,,,
PSYCH (GENERAL),Psychology of Women Quarterly,3,3,19,15,22,14,70%,15%,11%,0.447,,,,,,,,,,,
PSYCH (GENERAL),Psychometrika,3,3,38,22,11,34,1%,36%,17%,0.055,,,,,,,,,,,
PSYCH (GENERAL),Quarterly Journal of Experimental Psychology,3,3,32,46,27,46,5%,37%,17%,0.015,,,,,,,,,,,
PSYCH (GENERAL),Social Psychological and Personality Science,3,3,12,13,12,16,19%,42%,8%,0.363,,,,,,,,,,,
PSYCH (GENERAL),Stress and Health,3,2,29,41,41,26,21%,22%,23%,0.223,,,,,,,,,,,
PSYCH (GENERAL),Advances in Methods and Practices in Psychological Science (AMPPS),2,3,3,3,4,,2%,42%,31%,0.493,,,,,,,,,,,
PSYCH (GENERAL),Applied Cognitive Psychology,2,2,49,57,45,53,14%,32%,15%,0.13,,,,,,,,,,,
